column	source	notes
research_id	multiomics research_id (+ HG/NA reference-control sample IDs)	primary key; AoU numeric research IDs plus HPRC/HGSVC3 HG*/NA* controls
lr_phase	multiomics long_read phase	phase_1 / phase_2 / phase_1_phase_2
lr_meet_qc	multiomics long_read meet QC	bool; blank→False
lr_releasable_v9	multiomics long_read releasable v9	bool; blank→False
rna_meet_qc	multiomics RNASeq meet QC	bool; blank→False
has_rna	multiomics RNASeq releasable	v3-compatible
proteomics_meet_qc	multiomics Proteomics meet QC	bool; blank→False
has_proteomics	multiomics Proteomics releasable	v3-compatible
has_exposomics	multiomics Exposomics releasable v9	bool; blank→False
has_srWGS	multiomics rid_no_srWGS	True unless source marks person as lacking short-read WGS
age	part.csv.gz age_at_cdr	
sex_at_birth	part.csv.gz (+ lr_1027_sex_at_birth.csv / merged_all_df.csv.gz fills; + inferred_sex soft fill)	retains existing part value; supplied Phase 1 mapping then one-value-per-person merged_all fill missing usable values; sentinels are treated as missing in supplemental sources; joint-callset nits may map missing values from inferred_sex XX→Female / XY→Male (see reference_controls/lr_soft_field_fills.tsv)
zip3	part.csv.gz zip3_as_string	
has_ehr_data	part.csv.gz (+ merged_all_df.csv.gz fill)	nullable bool; merged_all fills only missing values when person-level value is unique
has_demographics	derived	True if matched in part.csv.gz
extraction_method	lr_dna_extraction_method_cdrv9.tsv (+ HA sample fills)	Chemagen or Autogen; CDR preferred, then ha_partial/ha_passing by biobank_id
has_extraction_method	derived	True when extraction_method is non-missing (CDR or HA fill)
has_trgt	trgt_table.txt	True if one or more TRGT VCFs are listed
n_trgt_vcfs	trgt_table.txt	count of listed TRGT VCF paths
population	pc.log.gz member name (+ control ancestry_pred_other; + lr_pop_population / kNN soft fills)	continental code for population-specific PCA (AFR/AMR/EAS/EUR/SAS/OTH/MID); HG/NA controls use ancestry_pred_other uppercased; ancestry kNN and rare joint-callset nits may fill from lr_PC inference or lr_pop_population (see reference_controls/COVARIATE_FILLS.md)
lr_pop_population	population_pcs.tsv population	continental subset used for this sample's long-read within-pop PCA (lowercase afr/amr/eas/eur/sas/mid/oth); usually equals ancestry_pred_other
ancestry_pred	anc_df.csv.gz (+ merged_all_df.csv.gz fill)	external six-class ancestry prediction; merged_all fills missing values only when person-level value is unique
ancestry_pred_other	anc_df.csv.gz (+ merged_all_df.csv.gz fill)	external ancestry prediction that permits oth; merged_all fills missing values only when person-level value is unique
has_ancestry_annotation	derived	True if either ancestry prediction is non-missing after source supplements
is_reference_control	derived	True for HPRC/HGSVC3/GIAB reference controls with HG*/NA* sample IDs
in_pedigree	aou_phase2.ped	True if person is represented in the user-maintained Phase 2 pedigree; Phase 1 has no pedigrees
pedigree_family_id	aou_phase2.ped ped	family identifier; no parental IDs are exported
pedigree_is_founder	aou_phase2.ped father/mother	True when both parent IDs are 0
pedigree_n_parents	aou_phase2.ped father/mother	number of nonzero parents recorded (0–2)
pedigree_family_size	derived from aou_phase2.ped	number of people in the recorded pedigree family
PC1	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC2	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC3	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC4	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC5	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC6	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC7	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC8	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC9	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC10	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC11	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC12	full.tsv.gz global full-training PCA	canonical PCs; match v3
